Wine ID,country,description,designation,points,price,province,region_1,region_2,variety,winery
61,Australia,"Moorooduc's estate Pinot Noir is a solid value among the boutique offerings from the Mornington Peninsula. There's a supple cushioning of flesh wrapped around a firm backbone of acid, while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip. Drink now through 2020.",,91,36,Victoria,Mornington Peninsula,,Pinot Noir,Moorooduc
631,Australia,"Tim Knappstein's decision to focus on the Adelaide Hills bears fruit in this terrific-value Pinot Noir. The aromas and flavors are a colorful m??lange of beets, black cherries and purple heirloom tomatoes, backed by a rich texture and a long velvety finish. Drink now until 2020.",The Dagger,90,20,South Australia,Adelaide Hills,,Pinot Noir,Riposte
660,Australia,"This crisp, delicate Pinot Noir should be consumed over the next few years for its elegant cherry and rose petal notes and silky tannins. Hints of scorched earth and dry leaves add extra interest to the reasonably complex bouquet.",Applejack Vineyard,88,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
825,Australia,"The Dead Arm is always firmly structured, making it one of the more challenging Shiraz to judge in its youth. The 2010 is full-bodied and chewy, characterized by dark, earthy and umami notes of roasted meat, asphalt and grilled mushrooms. The length and ripely tannic nature of the finish is reassuring. Drink 2018Ç??2030.",The Dead Arm,90,65,South Australia,McLaren Vale,,Shiraz,D'Arenberg
987,Australia,"This is strongly marked by new oak on the nose at this stage, suggesting toast, brown sugar and coffee, but fruit comes through on the palate where hints of dark berries, cola, clove and cinnamon mingle. The wine is creamy and lush in texture, with ample weight and a lingering finish of dried fruit, vanilla and mocha. Drink from 2018 to 2025.",Coal River Valley Single Site,90,65,Tasmania,Tasmania,,Pinot Noir,Dalrymple
1066,Australia,"Hints of lemon curd and struck flint emerge from they lass, while the palate reveals flavors of apple, pear and citrus. With its pared-back flavors and restrained nature, this medium-bodied Chardonnay should prove versatile at the table. Drink nowÇ??2016.",,88,25,South Australia,Eden Valley,,Chardonnay,Heggies Vineyard
2025,Australia,"This medium-bodied Shiraz is refreshingly medium-bodied and drinkable, with softly dusty tannins on the finish that don't get in the way of present enjoyment. The aromas are a bit floral, hinting at stone fruit and anise, while the flavors are raspberry and red plum. Drink nowÇ??2020.",Ned & Henry's,90,25,South Australia,Barossa Valley,,Shiraz,Hewitson
2028,Australia,"From vines that were 79 years old when the fruit was harvested, this is made in a deliberately lean style to encourage cellaring. Notes of lemon, crushed stone and apple skin are taut and dry, with a dusty, tactile sensation on the finish. Drink now, or hold through at least 2020 to allow for more development.",1927 Vines,90,33,Victoria,Nagambie Lakes,,Marsanne,Tahbilk
2148,Australia,"Full-bodied and plush yet vibrant and imbued with fresh fruit, this is simply superb. The oak is present but never dominant, adding brown sugar and cinnamon elements to blueberry, roasted meat, espresso and black olive notes. A hint of peppery spice also creeps into this impossibly complex wine. The finish combines power, length, freshness and dusty tannins, suggesting that while impressive now, it should age well. Drink nowÇ??2030.",The Factor,98,125,South Australia,Barossa Valley,,Shiraz,Torbreck
2325,Australia,"Based in Clare Valley, Wakefield sources this fruit from the cooler Adelaide Hills. Attractive rose-petal and dry earth aromas lead the way, followed by notes of black cherries and licorice on the palate. It's a bit full-bodied and muscular, a Pinot more for steak than salmon.",,90,17,South Australia,Adelaide Hills,,Pinot Noir,Wakefield Estate
2379,Australia,"This is ripe, rich and even a touch tannicÇ??almost more of a light red than a true ros??. This makes it ideally suited to serve alongside summer's various grilled meats. Raspberry and cola flavors finish spicy and round.",Handpicked Grenache,90,25,South Australia,McLaren Vale,,Ros??,Beresford
2398,Australia,"This is deliberately picked early to preserve acidity and aging potential. At nine years of age, the result is a wine that's just beginning to mature yet remains youthful, with bright lemon notes and a long, dry finish. If you prefer additional richness, hold until at least 2020.",1927 Vines,89,34,Victoria,Nagambie Lakes,,Marsanne,Tahbilk
2458,Australia,"This is a top example of the classic Australian blend. Cabernet (57%) provides cigar box aromas and elongates the finish, while Shiraz (43%) fills out the midpalate. The combination is full-bodied yet muscular, generous yet firmly structured. Essence of cassis is framed by hints of vanilla and cedar, while the long finish shows off chewy tannins and mouthwatering acids. Drink 2023Ç??2035, and posssibly beyond.",The Peake,96,150,South Australia,McLaren Vale,,Cabernet-Shiraz,Hickinbotham
2617,Australia,"Smoky and herbal upfront, this is a light-bodied wine with silky-soft tannins. The flavors are on the savory side, ranging from hickory smoke and hung game to dried mint and thyme. Worth trying with roasted or braised lamb.",Applejack Vineyard,87,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
2703,Australia,"This is deliberately picked early to preserve acidity and aging potential. At nine years of age, the result is a wine that's just beginning to mature yet remains youthful, with bright lemon notes and a long, dry finish. If you prefer additional richness, hold until at least 2020.",1927 Vines,89,34,Victoria,Nagambie Lakes,,Marsanne,Tahbilk
