Wines,Country,Rate,Price,State,region_1,region_2,Wine Type,winery
61,Australia,91,36,Victoria,Mornington Peninsula,,Pinot Noir,Moorooduc
631,Australia,90,20,South Australia,Adelaide Hills,,Pinot Noir,Riposte
660,Australia,88,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
825,Australia,90,65,South Australia,McLaren Vale,,Shiraz,D'Arenberg
987,Australia,90,65,Tasmania,Tasmania,,Pinot Noir,Dalrymple
1066,Australia,88,25,South Australia,Eden Valley,,Chardonnay,Heggies Vineyard
2025,Australia,90,25,South Australia,Barossa Valley,,Shiraz,Hewitson
2028,Australia,90,33,Victoria,Nagambie Lakes,,Marsanne,Tahbilk
2148,Australia,98,125,South Australia,Barossa Valley,,Shiraz,Torbreck
2325,Australia,90,17,South Australia,Adelaide Hills,,Pinot Noir,Wakefield Estate
2379,Australia,90,25,South Australia,McLaren Vale,,Ros??,Beresford
2398,Australia,89,34,Victoria,Nagambie Lakes,,Marsanne,Tahbilk
2458,Australia,96,150,South Australia,McLaren Vale,,Cabernet-Shiraz,Hickinbotham
2617,Australia,87,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
2703,Australia,89,34,Victoria,Nagambie Lakes,,Marsanne,Tahbilk
2973,Australia,89,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
2992,Australia,89,20,Victoria,Victoria,,Pinot Noir,Innocent Bystander
3033,Australia,95,500,South Australia,South Australia,,Cabernet Sauvignon,Penfolds
3044,Australia,95,200,South Australia,Eden Valley,,Shiraz,Henschke
3047,Australia,95,95,South Australia,Langhorne Creek,,Red Blend,Heartland
3048,Australia,95,185,South Australia,Barossa Valley,,Grenache,Torbreck
3324,Australia,89,35,Victoria,Victoria,,Riesling,Fowles Wine
3584,Australia,89,16,South Australia,Barossa Valley,,Shiraz,Peter Lehmann
3655,Australia,94,90,South Australia,Barossa Valley,,Grenache,Cirillo
3822,Australia,89,13,Australia Other,Australia,,Sparkling Blend,Taltarni
3934,Australia,94,65,South Australia,Barossa,,Red Blend,Henschke
3935,Australia,94,55,South Australia,Barossa,,Cabernet Sauvignon-Shiraz,Yalumba
3958,Australia,94,50,South Australia,Barossa,,Shiraz,Torbreck
4232,Australia,93,120,South Australia,Barossa,,Shiraz,Yalumba
4477,Australia,93,120,South Australia,Barossa,,Shiraz,Yalumba
4479,Australia,93,54,South Australia,Barossa,,Grenache,Yalumba
4480,Australia,93,100,South Australia,Wrattonbully,,Cabernet Sauvignon,Casella
4752,Australia,93,185,South Australia,McLaren Vale,,Shiraz,Mollydooker
5078,Australia,93,75,South Australia,McLaren Vale,,Cabernet Sauvignon,Hickinbotham
5207,Australia,86,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
5378,Australia,93,50,South Australia,Barossa Valley,,Shiraz,Torbreck
5390,Australia,93,83,South Australia,Clare Valley,,Cabernet Sauvignon,Jim Barry
5399,Australia,93,45,South Australia,Eden Valley,,Riesling,Pewsey Vale
5465,Australia,88,20,Western Australia,Western Australia,,Pinot Noir,Plantagenet
5838,Australia,88,15,Victoria,Victoria,,Ros??,Tournon by Michel Chapoutier
5839,Australia,88,20,South Australia,Barossa Valley,,Ros??,Turkey Flat
5843,Australia,88,15,South Australia,South Australia,,Shiraz,2 Up
5939,Australia,92,43,South Australia,Eden Valley,,Riesling,Henschke
6078,Australia,92,43,South Australia,Eden Valley,,Riesling,Henschke
6361,Australia,92,24,South Australia,Barossa Valley,,Shiraz,Torbreck
6363,Australia,92,29,Western Australia,Great Southern,,Cabernet Sauvignon,Plantagenet
6385,Australia,92,30,South Australia,Clare Valley,,Riesling,Kilikanoon
6386,Australia,92,31,South Australia,Barossa,,Cabernet Sauvignon,Langmeil
6457,Australia,88,12,New South Wales,Riverina,,Sparkling Blend,De Bortoli
6473,Australia,88,,Australia Other,Australia,,Ros??,Evans & Tate
6663,Australia,88,,Australia Other,Australia,,Ros??,Evans & Tate
6679,Australia,88,13,South Australia,South Australia,,Chardonnay,Wakefield Estate
6682,Australia,87,17,South Australia,South Australia,,Chardonnay,Wakefield Estate
6720,Australia,92,24,New South Wales,Hunter Valley,,S??millon,Silkman
6732,Australia,92,,South Australia,Limestone Coast,,Cabernet Sauvignon,Di Giorgio Family Wines
6735,Australia,92,75,South Australia,McLaren Vale,,Shiraz,Mollydooker
6996,Australia,92,40,South Australia,Padthaway,,Shiraz,Henry's Drive Vignerons
7018,Australia,92,25,South Australia,Barossa,,Shiraz,Maverick
7019,Australia,92,49,South Australia,McLaren Vale,,Cabernet Sauvignon,Mollydooker
7104,Australia,87,40,Western Australia,Pemberton,,Pinot Noir,Picardy
7409,Australia,87,65,Tasmania,Tasmania,,Pinot Noir,Dalrymple
7634,Australia,92,39,South Australia,Langhorne Creek,,Cabernet Sauvignon,Heartland
7636,Australia,92,125,South Australia,Barossa Valley,,Shiraz-Viognier,Torbreck
7734,Australia,87,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
7963,Australia,91,35,South Australia,Fleurieu Peninsula,,Cabernet Sauvignon,Salomon Estate
7979,Australia,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,D'Arenberg
8016,Australia,87,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
8193,Australia,91,35,South Australia,Fleurieu Peninsula,,Cabernet Sauvignon,Salomon Estate
8194,Australia,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,Wirra Wirra
