Wine ID,country,description,designation,points,price,province,region_1,region_2,variety,winery
61,Australia,"Moorooduc's estate Pinot Noir is a solid value among the boutique offerings from the Mornington Peninsula. There's a supple cushioning of flesh wrapped around a firm backbone of acid, while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip. Drink now through 2020.",,91,36,Victoria,Mornington Peninsula,,Pinot Noir,Moorooduc
631,Australia,"Tim Knappstein's decision to focus on the Adelaide Hills bears fruit in this terrific-value Pinot Noir. The aromas and flavors are a colorful m??lange of beets, black cherries and purple heirloom tomatoes, backed by a rich texture and a long velvety finish. Drink now until 2020.",The Dagger,90,20,South Australia,Adelaide Hills,,Pinot Noir,Riposte
660,Australia,"This crisp, delicate Pinot Noir should be consumed over the next few years for its elegant cherry and rose petal notes and silky tannins. Hints of scorched earth and dry leaves add extra interest to the reasonably complex bouquet.",Applejack Vineyard,88,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
825,Australia,"The Dead Arm is always firmly structured, making it one of the more challenging Shiraz to judge in its youth. The 2010 is full-bodied and chewy, characterized by dark, earthy and umami notes of roasted meat, asphalt and grilled mushrooms. The length and ripely tannic nature of the finish is reassuring. Drink 2018???2030.",The Dead Arm,90,65,South Australia,McLaren Vale,,Shiraz,D'Arenberg
987,Australia,"This is strongly marked by new oak on the nose at this stage, suggesting toast, brown sugar and coffee, but fruit comes through on the palate where hints of dark berries, cola, clove and cinnamon mingle. The wine is creamy and lush in texture, with ample weight and a lingering finish of dried fruit, vanilla and mocha. Drink from 2018 to 2025.",Coal River Valley Single Site,90,65,Tasmania,Tasmania,,Pinot Noir,Dalrymple
1066,Australia,"Hints of lemon curd and struck flint emerge from they lass, while the palate reveals flavors of apple, pear and citrus. With its pared-back flavors and restrained nature, this medium-bodied Chardonnay should prove versatile at the table. Drink now???2016.",,88,25,South Australia,Eden Valley,,Chardonnay,Heggies Vineyard
2025,Australia,"This medium-bodied Shiraz is refreshingly medium-bodied and drinkable, with softly dusty tannins on the finish that don't get in the way of present enjoyment. The aromas are a bit floral, hinting at stone fruit and anise, while the flavors are raspberry and red plum. Drink now???2020.",Ned & Henry's,90,25,South Australia,Barossa Valley,,Shiraz,Hewitson
2148,Australia,"Full-bodied and plush yet vibrant and imbued with fresh fruit, this is simply superb. The oak is present but never dominant, adding brown sugar and cinnamon elements to blueberry, roasted meat, espresso and black olive notes. A hint of peppery spice also creeps into this impossibly complex wine. The finish combines power, length, freshness and dusty tannins, suggesting that while impressive now, it should age well. Drink now???2030.",The Factor,98,125,South Australia,Barossa Valley,,Shiraz,Torbreck
2325,Australia,"Based in Clare Valley, Wakefield sources this fruit from the cooler Adelaide Hills. Attractive rose-petal and dry earth aromas lead the way, followed by notes of black cherries and licorice on the palate. It's a bit full-bodied and muscular, a Pinot more for steak than salmon.",,90,17,South Australia,Adelaide Hills,,Pinot Noir,Wakefield Estate
2617,Australia,"Smoky and herbal upfront, this is a light-bodied wine with silky-soft tannins. The flavors are on the savory side, ranging from hickory smoke and hung game to dried mint and thyme. Worth trying with roasted or braised lamb.",Applejack Vineyard,87,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
2973,Australia,"The 2012 and 2013 vintages were both strong in southern Australia, so some of the realistically priced Pinots from South Australia and Victoria are worth stocking up on. This is a good example, showing hints of acacia blossoms, red berries, cola and brown sugar wrapped in supple tannins. Drink now through 2018.",,89,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
2992,Australia,"It's difficult to find $20 Pinot Noir this good from anywhere in the world. Floral notes on the nose yield to ripe black-cherry fruit on the palate, which finish finishes with crisp acids and soft, dusty tannins. Drink now???2020.",,89,20,Victoria,Victoria,,Pinot Noir,Innocent Bystander
3033,Australia,"This Cabernet equivalent to Grange has exploded in price (I remember tasting the 1996 on release when it was $25 per bottle), but there's no questioning the quality. A deep, intense nose of cassis, earth, menthol and cedar is followed by a full, rich palate that's supple without being soft. Brighter notes of red fruit emerge on the lengthy finish, which is dominated by sweet fruit and creamy lactones. Drink 2020???2030, and probably well beyond.",Bin 707,95,500,South Australia,South Australia,,Cabernet Sauvignon,Penfolds
3044,Australia,"From vines planted in 1912, this has been an icon of South Australia Shiaz since 1952, when it was first bottled as a single-vineyard wine. Menthol and vanilla notes frame black cherries and cassis on the nose, while the palate reveals supple tannins and meaty, savory complexities. The finish is softly dusty, fine and long. Drink now???2030.",Mount Edelstone Vineyard,95,200,South Australia,Eden Valley,,Shiraz,Henschke
3324,Australia,"This wine, which comes from thin, granitic soils, is lean, taut and dry. Hints of lime blossom and green apple on the nose and palate give it a springtime feel, while the finish is crisp and refreshing.",Ladies Who Shoot Their Lunch,89,35,Victoria,Victoria,,Riesling,Fowles Wine
