Wine ID,Country,Rate,Price,State,Region,variety,Winery
61,Australia,91,36,Victoria,Mornington Peninsula,Pinot Noir,Moorooduc
631,Australia,90,20,South Australia,Adelaide Hills,Pinot Noir,Riposte
660,Australia,88,42,Victoria,Yarra Valley,Pinot Noir,Giant Steps
825,Australia,90,65,South Australia,McLaren Vale,Shiraz,D'Arenberg
987,Australia,90,65,Tasmania,Tasmania,Pinot Noir,Dalrymple
1066,Australia,88,25,South Australia,Eden Valley,Chardonnay,Heggies Vineyard
2025,Australia,90,25,South Australia,Barossa Valley,Shiraz,Hewitson
2148,Australia,98,125,South Australia,Barossa Valley,Shiraz,Torbreck
2325,Australia,90,17,South Australia,Adelaide Hills,Pinot Noir,Wakefield Estate
2617,Australia,87,42,Victoria,Yarra Valley,Pinot Noir,Giant Steps
2973,Australia,89,20,South Australia,Adelaide Hills,Pinot Noir,Sidewood
2992,Australia,89,20,Victoria,Victoria,Pinot Noir,Innocent Bystander
3033,Australia,95,500,South Australia,South Australia,Cabernet Sauvignon,Penfolds
3044,Australia,95,200,South Australia,Eden Valley,Shiraz,Henschke
3324,Australia,89,35,Victoria,Victoria,Riesling,Fowles Wine
3584,Australia,89,16,South Australia,Barossa Valley,Shiraz,Peter Lehmann
3958,Australia,94,50,South Australia,Barossa,Shiraz,Torbreck
4232,Australia,93,120,South Australia,Barossa,Shiraz,Yalumba
4477,Australia,93,120,South Australia,Barossa,Shiraz,Yalumba
4480,Australia,93,100,South Australia,Wrattonbully,Cabernet Sauvignon,Casella
4752,Australia,93,185,South Australia,McLaren Vale,Shiraz,Mollydooker
5078,Australia,93,75,South Australia,McLaren Vale,Cabernet Sauvignon,Hickinbotham
5207,Australia,86,42,Victoria,Yarra Valley,Pinot Noir,Giant Steps
5378,Australia,93,50,South Australia,Barossa Valley,Shiraz,Torbreck
5390,Australia,93,83,South Australia,Clare Valley,Cabernet Sauvignon,Jim Barry
5399,Australia,93,45,South Australia,Eden Valley,Riesling,Pewsey Vale
5465,Australia,88,20,Western Australia,Western Australia,Pinot Noir,Plantagenet
5843,Australia,88,15,South Australia,South Australia,Shiraz,2 Up
5939,Australia,92,43,South Australia,Eden Valley,Riesling,Henschke
6078,Australia,92,43,South Australia,Eden Valley,Riesling,Henschke
6361,Australia,92,24,South Australia,Barossa Valley,Shiraz,Torbreck
6363,Australia,92,29,Western Australia,Great Southern,Cabernet Sauvignon,Plantagenet
6385,Australia,92,30,South Australia,Clare Valley,Riesling,Kilikanoon
6386,Australia,92,31,South Australia,Barossa,Cabernet Sauvignon,Langmeil
6679,Australia,88,13,South Australia,South Australia,Chardonnay,Wakefield Estate
6682,Australia,87,17,South Australia,South Australia,Chardonnay,Wakefield Estate
6732,Australia,92,,South Australia,Limestone Coast,Cabernet Sauvignon,Di Giorgio Family Wines
6735,Australia,92,75,South Australia,McLaren Vale,Shiraz,Mollydooker
6996,Australia,92,40,South Australia,Padthaway,Shiraz,Henry's Drive Vignerons
7018,Australia,92,25,South Australia,Barossa,Shiraz,Maverick
7019,Australia,92,49,South Australia,McLaren Vale,Cabernet Sauvignon,Mollydooker
7104,Australia,87,40,Western Australia,Pemberton,Pinot Noir,Picardy
7409,Australia,87,65,Tasmania,Tasmania,Pinot Noir,Dalrymple
7634,Australia,92,39,South Australia,Langhorne Creek,Cabernet Sauvignon,Heartland
7734,Australia,87,20,South Australia,Adelaide Hills,Pinot Noir,Sidewood
7963,Australia,91,35,South Australia,Fleurieu Peninsula,Cabernet Sauvignon,Salomon Estate
7979,Australia,91,65,South Australia,McLaren Vale,Cabernet Sauvignon,D'Arenberg
8016,Australia,87,20,South Australia,Adelaide Hills,Pinot Noir,Sidewood
8193,Australia,91,35,South Australia,Fleurieu Peninsula,Cabernet Sauvignon,Salomon Estate
8194,Australia,91,65,South Australia,McLaren Vale,Cabernet Sauvignon,Wirra Wirra
8198,Australia,91,30,South Australia,Clare Valley,Cabernet Sauvignon,Kilikanoon
8492,Australia,87,12,Australia Other,South Eastern Australia,Chardonnay,Lismore Range
8530,Australia,91,18,South Australia,Adelaide Hills,Chardonnay,Sidewood
8535,Australia,91,40,South Australia,Clare Valley,Shiraz,Kilikanoon
8586,Australia,87,14,Victoria,Victoria,Pinot Noir,Shoofly
8800,Australia,91,120,South Australia,McLaren Vale,Shiraz,Kay Brothers
8818,Australia,91,25,South Australia,McLaren Vale,Cabernet Sauvignon,Beresford
9093,Australia,91,25,South Australia,McLaren Vale,Cabernet Sauvignon,Beresford
9110,Australia,91,65,South Australia,McLaren Vale,Cabernet Sauvignon,D'Arenberg
9136,Australia,86,9,Australia Other,South Eastern Australia,Chardonnay,Jacob's Creek
9275,Australia,91,72,Western Australia,Margaret River,Cabernet Sauvignon,Cape Mentelle
9282,Australia,91,17,New South Wales,Riverina,Cabernet Sauvignon,Nugan Family Estates
9283,Australia,91,37,Western Australia,Great Southern,Cabernet Sauvignon,Howard Park
9284,Australia,91,20,South Australia,Coonawarra,Cabernet Sauvignon,Jim Barry
9617,Australia,91,,South Australia,Coonawarra,Cabernet Sauvignon,Balnaves of Coonawarra
9628,Australia,91,45,South Australia,Barossa,Shiraz,Yalumba
9917,Australia,85,13,South Australia,Adelaide Hills,Pinot Noir,Jacob's Creek
9932,Australia,90,15,New South Wales,Hilltops,Cabernet Sauvignon,McWilliam's
9958,Australia,90,15,South Australia,South Australia,Chardonnay,The Islander
